,country,year,emissions,total_emissions
1158,Belarus,2006,62.71156376586371,62711563.76586371
1159,Kazakhstan,2006,200.375220074725,200375220.074725
1160,Russian Federation,2006,2029.6303221473481,2029630322.1473482
1161,Turkmenistan,2006,94.80583042070002,94805830.42070001
1162,Uzbekistan,2006,136.13377636154348,136133776.36154348
1163,"Iran, Islamic Republic of",2006,621.6457352936476,621645735.2936476
1164,Iraq,2006,134.39525895014785,134395258.95014784
1165,Israel,2006,68.07720103885212,68077201.03885213
1166,Kuwait,2006,95.77862914773037,95778629.14773037
1167,Oman,2006,52.20813565999861,52208135.65999861
1168,Qatar,2006,57.761887875731226,57761887.87573122
1169,Saudi Arabia,2006,438.25846051112205,438258460.51112205
1170,United Arab Emirates,2006,196.91469358890168,196914693.5889017
1171,Algeria,2006,163.23696463987565,163236964.63987565
1172,Egypt,2006,189.03340328878195,189033403.28878194
1173,Morocco,2006,49.08364295062801,49083642.95062801
1174,South Africa,2006,465.90094938072116,465900949.38072115
1175,Australia,2006,440.0283822281138,440028382.2281138
1176,Bangladesh,2006,46.48677575746027,46486775.757460274
1177,China,2006,7535.770622905727,7535770622.905726
1178,China,2006,80.32051080047525,80320510.80047525
1179,India,2006,1377.507857982722,1377507857.982722
1180,Indonesia,2006,445.3468211864945,445346821.18649447
1181,Japan,2006,1304.9041362898545,1304904136.2898545
1182,Malaysia,2006,209.6304328089853,209630432.8089853
1183,New Zealand,2006,39.4181817548107,39418181.754810706
1184,Pakistan,2006,149.7888267130637,149788826.71306372
1185,Philippines,2006,73.47581530599025,73475815.30599025
1186,South Korea,2006,526.234011436924,526234011.436924
1187,Taiwan,2006,283.13950750153106,283139507.50153106
1188,Thailand,2006,255.786364217504,255786364.217504
1189,Vietnam,2006,98.4589840151889,98458984.0151889
1190,Canada,2007,629.2674576614075,629267457.6614076
1191,Mexico,2007,507.4395713177638,507439571.3177638
1192,US,2007,6205.7174316922965,6205717431.692296
1193,Argentina,2007,194.646754203287,194646754.203287
